Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Bangladesh,BGD,24.7270013036793,25.2955721814431,24.9564767264585,25.0452996007551,25.3099593902625,26.3070701636507,26.3110467833576,31.9828135899766,32.8525491977868,32.9115650824449,33.3160943869001,33.9200804971876,34.5942721606063
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Barbados,BRB,15.1245152189883,15.4080285848763,14.0355599958124,14.497322001264,14.148659970014,14.0383560273229,13.8031265141051,12.260436368441,11.863006908196,12.8119579646792,12.6264206487161,12.8209096837579,13.1031863858908
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Belarus,BLR,38.8242464026726,36.1176229649528,35.3930231166604,36.0887890771209,36.2828598908689,35.9038510426226,35.3789448863848,31.265533028123,31.7370780512425,31.3516473974927,32.1445734089406,33.0290955450834,32.5397512173745
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Belgium,BEL,21.59544849636,20.600029785888,20.8945803561766,20.7778964049581,20.075240558224,19.8791997556506,19.6748264840511,18.9339307746014,19.2593657257244,19.3906567836726,19.3297972763911,20.0459678279335,18.4421759644152
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Belize,BLZ,20.2677265708427,19.435518239996,18.117326676852,18.7312879997452,15.8361231090872,15.8024758785023,15.9097246878581,13.9379729964047,14.3112994004665,16.5969788029169,17.2292950839483,15.561640210652,13.1647112600945
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Benin,BEN,17.6606220766815,17.9195079292369,18.0090531395068,18.1374491115974,16.9566846878966,17.2437092893088,16.4115774866134,14.6419567509163,16.3125612015902,16.2905490528658,16.4674003775761,17.0177168089335,17.301919273728
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Bermuda,BMU,..,..,6.59753236327659,5.66742455792625,5.11874218822023,5.29900911819128,5.00463985900816,5.7012359712742,6.37065036340846,5.63417624162806,5.30060150080826,5.35747408654595,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Bhutan,BTN,40.8156244643724,39.4589101877082,40.157186245285,38.1762498277263,38.875725261239,39.4644514990078,38.2258914321963,35.2652172681291,33.0939033998675,31.7909798077316,31.6232759063264,31.8248443710243,..
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Bolivia,BOL,29.7366397824222,29.2286844945559,30.1439417460822,30.3691066361261,29.3342196293346,28.5181929044884,27.6254998805738,26.2465894715173,25.2102745511952,23.4919320116415,26.3623003775663,26.2017588810386,24.7859142755174
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Bosnia and Herzegovina,BIH,23.2014104320358,22.9076469417103,22.4540096321725,22.1932597066813,21.6232008180939,22.3236757020136,22.156369823245,23.7113591895767,23.2037923056831,23.7775609403246,24.7993816070925,24.663249794412,23.2870568796093
